exit_policy,scenario_id,rule_id,split,month,ledger_days,start_equity_yuan,end_equity_yuan,monthly_return,net_pnl_yuan,total_cost_yuan,traded_notional_yuan,avg_exposure,max_exposure,avg_active_positions,max_drawdown_in_month,daily_win_rate
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202501,5,535742.9752761881,499534.2648949416,-0.06758597322266346,-36208.710381246434,5773.396953566543,1154679.3907133087,1.1158388554649268,1.804018955287851,60.0,-0.0423641332314344,0.4
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202501,17,1000000.0,945604.4428404891,-0.05439555715951094,-54395.55715951081,29946.176874023666,5989235.374804733,0.8850422412560558,1.0805920552292647,88.23529411764706,-0.0829697636221598,0.35294117647058826
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202502,18,945604.4428404891,1164501.3471271785,0.231488870366501,218896.90428668974,37107.1919001163,7421438.380023261,0.9488933551617029,1.0928720905204865,100.05555555555556,-0.026771956705347155,0.7777777777777778
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202503,21,1164501.3471271785,1088625.043938502,-0.06515776334296486,-75876.30318867623,42052.60302226977,8410520.604453953,0.8598586730316031,0.8948116158431032,100.47619047619048,-0.0922775670863577,0.3333333333333333
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202504,21,1088625.043938502,992351.04951958,-0.08843632153695025,-96273.994418922,41088.80744837213,8217761.489674426,0.9505369142367679,1.0737154201048025,100.33333333333333,-0.11605878212578036,0.42857142857142855
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202505,19,992351.04951958,994822.1569855231,0.002490154534667388,2471.1074659428305,38665.282988342406,7733056.59766848,0.9884159052822599,1.1380439990959328,101.6842105263158,-0.07285940733882457,0.42105263157894735
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202506,20,994822.1569855231,1048442.7912683842,0.05389971856411058,53620.63428286154,40368.53401989924,8073706.8039798485,0.9864441052460566,1.034318045798971,100.05,-0.07874420816462058,0.65
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202507,23,1048442.7912683842,1082386.7064744742,0.0323755530476062,33943.915206089616,46389.92306113636,9277984.612227272,0.9448991320172877,0.9646111234692488,100.0,-0.01828904965664946,0.4782608695652174
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202508,21,1082386.7064744742,1134814.5109416742,0.04843722133096651,52427.804467200185,42465.347996934725,8493069.599386944,0.9048121069556304,0.943035730848174,100.04761904761905,-0.024883799751414193,0.7142857142857143
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202509,22,1134814.5109416742,1069055.0692577958,-0.05794730420684424,-65759.44168387829,43918.10369066763,8783620.738133527,0.8809850585283456,0.9251896007289664,99.95454545454545,-0.08886323309164235,0.36363636363636365
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202510,17,1069055.0692577958,1156838.6792725748,0.08211327230852938,87783.61001477932,34276.14647925897,6855229.295851794,0.9255890922861667,0.9739204451783626,100.29411764705883,-0.04301835518868369,0.6470588235294118
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202511,20,1156838.6792725748,1088283.974804741,-0.05926038409343404,-68554.70446783413,40007.364690477625,8001472.938095525,0.9016280130467681,0.9413991696589785,100.0,-0.08706667804860779,0.35
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202512,23,1088283.974804741,1053937.103789446,-0.03156057776322363,-34346.87101529545,46129.354136779555,9225870.827355912,0.9480962082503585,0.9880772426875696,100.1304347826087,-0.053210503056256964,0.391304347826087
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202601,20,1053937.103789446,1105874.7694279049,0.049279663323092304,51937.665638458915,40508.52221621201,8101704.443242402,0.9023899341051583,0.976437908472089,100.05,-0.05474107463468558,0.6
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202602,14,1105874.7694279049,1130726.7842468258,0.022472720696736337,24852.01481892049,28057.346447202566,5611469.289440513,0.8948682001910482,0.9184317500166114,100.0,-0.030599246123281798,0.5
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202603,22,1130726.7842468258,963112.2196629454,-0.14823613176858463,-167614.56458388068,43431.89462497092,8686378.924994184,0.953095668443995,1.058876207072891,100.0,-0.14093013709747326,0.36363636363636365
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202604,21,963112.2196629454,939142.2798732824,-0.024888002976487633,-23969.939789662843,41552.325528800066,8310465.105760014,1.023954583040139,1.0824985931293338,98.61904761904762,-0.06286321963224617,0.47619047619047616
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,research_holdout,202605,13,939142.2798732824,939195.4519135717,5.661766212505803e-05,53.17204028945184,22623.996743448486,4524799.348689697,0.9379232043962216,1.2696175267326333,88.15384615384616,-0.040846718156513195,0.46153846153846156
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,201804,16,1000000.0,940431.6146713853,-0.05956838532861475,-59568.38532861446,27868.204679911476,5573640.935982295,0.8887299444771684,1.0575370980461463,87.3125,-0.07366455312431708,0.5625
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,201805,22,940431.6146713853,873367.9504124457,-0.0713115799306403,-67063.66425893935,43995.3843673148,8799076.873462958,1.046821163946244,1.1432978650786505,100.13636363636364,-0.1245721895162375,0.4090909090909091
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,201806,20,873367.9504124457,741015.7791740505,-0.1515422808632858,-132352.17123839544,39243.562036085,7848712.407217002,1.2758622921250127,1.5201171279332548,101.05,-0.24656218464163382,0.35
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,201807,22,741015.7791740505,721225.5829506814,-0.026706848598322175,-19790.19622336878,44014.56573994277,8802913.147988558,1.3777563336261343,1.5009773543953628,100.13636363636364,-0.12740489008318467,0.5454545454545454
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,201808,23,721225.5829506814,493742.69578849984,-0.31541156129196435,-227482.88716218167,45171.164442827365,9034232.888565473,1.704723571999769,2.0065452951017866,100.26086956521739,-0.2875256167934971,0.391304347826087
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,201809,19,493742.69578849984,647175.0467343178,0.3107536622912239,153432.35094581783,38793.76898372308,7758753.796744617,1.6825005033124214,2.0499318410969685,100.05263157894737,-0.08844517953430764,0.5263157894736842
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,201810,18,647175.0467343178,517209.16553690645,-0.20082029097572074,-129965.88119741129,35374.02587718209,7074805.1754364185,1.9256067251777589,2.339768291917336,101.11111111111111,-0.29368388724782446,0.4444444444444444
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,201811,22,517209.16553690645,537164.634991968,0.03858297722614057,19955.46945506161,44560.12474599677,8912024.949199352,1.7059863123324126,2.055594777054049,100.27272727272727,-0.19874316631167,0.5
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,201812,20,537164.634991968,385380.37133258325,-0.2825656302962952,-151784.26365938454,39367.45849713095,7873491.699426189,2.0039295322286845,2.5932263990440814,100.05,-0.34873882253261557,0.25
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,201901,22,385380.37133258325,167621.37895583367,-0.5650495162059606,-217758.99237674958,43296.17248725631,8659234.497451263,2.910189685823156,4.658933404887174,100.81818181818181,-0.582108154526162,0.36363636363636365
