trade_id,rule_id,split,trade_date,ts_code,industry,original_exit_date,exit_suspend_flag_5d,exit_limit_down_close_flag_5d,resolved,unresolved,delay_days,delayed_exit_date,original_return,delayed_return,return_delta
56388,low_stock_ret_60d,train,20211008,002607.SZ,文教休闲,20211015,False,True,True,False,1.0,20211018,0.07589285714285743,0.07142857142857162,-0.0044642857142858094
56524,low_stock_ret_60d,train,20211019,600753.SH,商贸代理,20211026,False,True,True,False,2.0,20211028,-0.20983754512635377,-0.2784296028880866,-0.06859205776173283
56545,low_stock_ret_60d,train,20211020,600753.SH,商贸代理,20211027,False,True,True,False,1.0,20211028,-0.2770642201834863,-0.26651376146788996,0.010550458715596345
57379,low_stock_ret_60d,train,20211216,000301.SZ,化纤,20211223,True,False,True,False,1.0,20211224,-0.0914285714285713,-0.08285714285714285,0.008571428571428452
57383,low_stock_ret_60d,train,20211217,600145.SH,UNKNOWN,20211224,False,True,True,False,1.0,20211227,-0.022556390977443552,-0.007518796992481147,0.015037593984962405
57661,low_stock_ret_60d,train,20220107,600145.SH,UNKNOWN,20220114,False,True,True,False,3.0,20220119,-0.05309734513274322,-0.15929203539823,-0.10619469026548678
57681,low_stock_ret_60d,train,20220110,600145.SH,UNKNOWN,20220117,False,True,True,False,2.0,20220119,-0.10526315789473684,-0.16666666666666674,-0.061403508771929904
57701,low_stock_ret_60d,train,20220111,600145.SH,UNKNOWN,20220118,False,True,True,False,1.0,20220119,-0.15652173913043488,-0.17391304347826086,-0.017391304347825987
57741,low_stock_ret_60d,train,20220113,600145.SH,UNKNOWN,20220120,False,True,True,False,1.0,20220121,-0.16666666666666674,-0.12037037037037057,0.04629629629629617
58825,low_stock_ret_60d,train,20220408,002374.SZ,广告包装,20220415,False,True,True,False,2.0,20220419,-0.06321839080459768,-0.1915708812260536,-0.1283524904214559
58857,low_stock_ret_60d,train,20220411,002374.SZ,广告包装,20220418,False,True,True,False,1.0,20220419,-0.13725490196078416,-0.1725490196078432,-0.03529411764705903
58941,low_stock_ret_60d,train,20220418,002529.SZ,专用机械,20220425,False,True,True,False,1.0,20220426,-0.19004524886877816,-0.2209653092006033,-0.03092006033182515
58943,low_stock_ret_60d,train,20220418,300526.SZ,UNKNOWN,20220425,True,True,True,False,2.0,20220427,-0.2569778633301252,-0.5120307988450433,-0.25505293551491814
59068,low_stock_ret_60d,train,20220426,688086.SH,UNKNOWN,20220506,True,True,True,False,1.0,20220509,-0.13969732246798605,-0.2956926658905704,-0.15599534342258436
59080,low_stock_ret_60d,train,20220427,002316.SZ,软件服务,20220509,False,True,True,False,1.0,20220510,-0.11326860841423947,-0.15533980582524276,-0.04207119741100329
59326,low_stock_ret_60d,train,20220518,002529.SZ,专用机械,20220525,False,True,True,False,1.0,20220526,0.3307086614173227,0.283464566929134,-0.04724409448818867
