exit_policy,scenario_id,rule_id,split,year,signal_days,trades,net_pnl_yuan,avg_net_return_on_target,trade_win_rate,profit_factor,avg_fill_ratio
planned_t5_close,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,train,2019,25,500,-135951.01854733098,-0.005438040741893238,0.428,0.6615330313251543,0.974014304
planned_t5_close,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,train,2021,16,320,648638.4525555735,0.04053990328472336,0.73125,4.668253985608086,0.934765164375
planned_t5_close,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,train,2022,54,1080,246511.67468759743,0.004565031012733286,0.5120370370370371,1.2459169244725468,0.5807632937037037
planned_t5_close,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,2023,1,20,20886.253882990168,0.02088625388299017,0.85,25.63092370310004,0.38635020999999997
planned_t5_close,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,2024,96,1920,696279.1780027671,0.007252908104195491,0.5088541666666667,1.2970076631477985,0.9059753084375
planned_t5_close,strict_5m_1pct_signal_40bps,low_stock_ret_60d,train,2018,92,1840,675061.9225434384,0.00733762959286346,0.5135869565217391,1.2402395556424883,0.9978260869565218
planned_t5_close,strict_5m_1pct_signal_40bps,low_stock_ret_60d,train,2019,25,500,89270.84058409274,0.003570833623363707,0.402,1.1406962671693448,0.996
planned_t5_close,strict_5m_1pct_signal_40bps,low_stock_ret_60d,train,2021,16,320,1218415.2347855545,0.07615095217409715,0.678125,4.36022953139828,0.9855701831249999
planned_t5_close,strict_5m_1pct_signal_40bps,low_stock_ret_60d,train,2022,54,1080,365890.59256591706,0.006775751714183647,0.5138888888888888,1.1836555335598609,0.9806420029629631
planned_t5_close,strict_5m_1pct_signal_40bps,low_stock_ret_60d,validation,2023,1,20,69330.14057442316,0.06933014057442315,0.9,20.08440377025932,1.0
planned_t5_close,strict_5m_1pct_signal_40bps,low_stock_ret_60d,validation,2024,96,1920,2324118.339071909,0.02420956603199905,0.5322916666666667,1.730579391124484,0.992776670625
