group_id,strategy_id,regime_id,scenario_id,matched_day_count,random_runs,actual_cumulative_return,random_cumulative_return_mean,random_cumulative_return_median,random_cumulative_return_p05,random_cumulative_return_p95,random_cumulative_return_min,random_cumulative_return_max,actual_percentile_vs_random,random_max_drawdown_mean,random_max_drawdown_p05,random_max_drawdown_p95
S0_v7_original_top10__R4_tail_breadth_Q2,S0_v7_original_top10,R4_tail_breadth_Q2,5bp_one_way_slippage,11,1000,0.10633764948043822,0.013353213129250878,0.012867573357444151,-0.05351599966215535,0.08368989648786396,-0.1112317672627855,0.13817511656259085,0.987,-0.03290457706332187,-0.0698008990430266,-0.007788792065132721
S0_v7_original_top10__R4_tail_breadth_Q2,S0_v7_original_top10,R4_tail_breadth_Q2,10bp_one_way_slippage,11,1000,0.0942315950490582,0.00019328524449819818,0.0007157760035279015,-0.06721194408690033,0.06504933319412573,-0.11647921891505941,0.11152524315462964,0.994,-0.03718511856795668,-0.07390808634250061,-0.011256988605995888
S0_v7_original_top10__R4_tail_breadth_Q2,S0_v7_original_top10,R4_tail_breadth_Q2,10bp_slippage_plus_impact,11,1000,0.09221553246746939,-0.0018821535851767002,-0.0020841319117370083,-0.06353247337281569,0.06183665004836059,-0.10691945754822452,0.13479028030306495,0.985,-0.037498307787597246,-0.07534609341624579,-0.010243437014542223
S0_v7_original_top10__R5_tail_ret_median_Q2,S0_v7_original_top10,R5_tail_ret_median_Q2,5bp_one_way_slippage,11,1000,0.08195764530320737,0.010512967345834217,0.010251200336133692,-0.057138460098384004,0.07465130514565066,-0.09810078961030899,0.15856761857324098,0.965,-0.03370681989490066,-0.06944210110566566,-0.009378661401539003
S0_v7_original_top10__R5_tail_ret_median_Q2,S0_v7_original_top10,R5_tail_ret_median_Q2,10bp_one_way_slippage,11,1000,0.0701183680693176,-0.0006982490195954379,-0.0006526919513513696,-0.06499409598476048,0.06544175126595751,-0.14830299390445845,0.1291211153763061,0.963,-0.03758561337045431,-0.07698552611265075,-0.010005258951680801
S0_v7_original_top10__R5_tail_ret_median_Q2,S0_v7_original_top10,R5_tail_ret_median_Q2,10bp_slippage_plus_impact,11,1000,0.06823077681526635,-0.0003809218411177653,-0.00169962808217905,-0.061637258496705746,0.06586515709852232,-0.09189549658027396,0.13064309521383932,0.954,-0.037122717772304734,-0.07336489950982204,-0.010735405005805613
S0_v7_original_top10__R6_market_dispersion_Q1_low,S0_v7_original_top10,R6_market_dispersion_Q1_low,5bp_one_way_slippage,12,1000,0.06572422363130381,0.012515007062433555,0.011380717748517566,-0.05401037626881959,0.0811811928345297,-0.102421855452285,0.13031883545387624,0.906,-0.034905126897251934,-0.07033114398655456,-0.009709611270328914
S0_v7_original_top10__R6_market_dispersion_Q1_low,S0_v7_original_top10,R6_market_dispersion_Q1_low,10bp_one_way_slippage,12,1000,0.053008779238527426,0.004274234071227011,0.00322826818846067,-0.060024218509470005,0.0709210942208947,-0.11506699058771241,0.1430696263932365,0.886,-0.03735313974293323,-0.0757213332707239,-0.010860724532898394
S0_v7_original_top10__R6_market_dispersion_Q1_low,S0_v7_original_top10,R6_market_dispersion_Q1_low,10bp_slippage_plus_impact,12,1000,0.05027660815738133,-0.00010565220392174346,-5.098118921814665e-05,-0.06686801409991325,0.06904004798900935,-0.11329324440875344,0.13113898849978534,0.891,-0.039192079385321425,-0.07646954526757371,-0.01206183898265897
S1_U2_filter_only_no_refill__C1_tail_up,S1_U2_filter_only_no_refill,C1_tail_up,5bp_one_way_slippage,35,1000,-0.030021370813774317,0.08420002098731598,0.08245813235602972,-0.02951806443182137,0.20366937677878758,-0.12658377424193568,0.32923036655722804,0.05,-0.07469617315575597,-0.12226015297217718,-0.038352691823991036
S1_U2_filter_only_no_refill__C1_tail_up,S1_U2_filter_only_no_refill,C1_tail_up,10bp_one_way_slippage,35,1000,-0.06339163135533521,0.04462659703963886,0.04465248829858948,-0.06703887769881756,0.1570042002403981,-0.14248183603492826,0.32773395789254023,0.056,-0.08393550036672141,-0.13895754406110714,-0.04406114712141592
S1_U2_filter_only_no_refill__C1_tail_up,S1_U2_filter_only_no_refill,C1_tail_up,10bp_slippage_plus_impact,35,1000,-0.06828301263662062,0.03567221228712408,0.03279224927335722,-0.06676683107694761,0.14205954279396646,-0.12388126186232662,0.2785313336566968,0.05,-0.0857661011868889,-0.1389754966725404,-0.045813178507054894
S1_U2_filter_only_no_refill__C2_market_up,S1_U2_filter_only_no_refill,C2_market_up,5bp_one_way_slippage,29,1000,0.08324073122464015,0.06991962913318844,0.06707852541910175,-0.048857046657491056,0.19572639272003584,-0.13209197554633212,0.2764866390466185,0.587,-0.06840570520563885,-0.11826636990282996,-0.03374288019934292
S1_U2_filter_only_no_refill__C2_market_up,S1_U2_filter_only_no_refill,C2_market_up,10bp_one_way_slippage,29,1000,0.05227020204468191,0.03836111629868326,0.03688776665242044,-0.07020045484896177,0.1541119573076676,-0.1552109077120899,0.2866893377648241,0.581,-0.07728903321717746,-0.13064436767401585,-0.038070056214203986
S1_U2_filter_only_no_refill__C2_market_up,S1_U2_filter_only_no_refill,C2_market_up,10bp_slippage_plus_impact,29,1000,0.04728009242112319,0.03207757689553876,0.029690916978077242,-0.0689823316839274,0.15211609871767806,-0.1802707221340395,0.250075978594124,0.604,-0.07670654565646187,-0.13062854538054583,-0.039113090446408934
S1_U2_filter_only_no_refill__C3_tail_breadth_Q5_high,S1_U2_filter_only_no_refill,C3_tail_breadth_Q5_high,5bp_one_way_slippage,12,1000,0.005469110926446641,0.029410777609439522,0.03153356499980675,-0.06095040270898925,0.11710707600005603,-0.13435394136169576,0.21961983271423402,0.33,-0.04256092146741942,-0.08638797230663323,-0.011014148865127193
S1_U2_filter_only_no_refill__C3_tail_breadth_Q5_high,S1_U2_filter_only_no_refill,C3_tail_breadth_Q5_high,10bp_one_way_slippage,12,1000,-0.006527413394898041,0.015334003507280272,0.012876398189756944,-0.07023098441382078,0.11241758706764904,-0.13174059185420273,0.20453254054943404,0.354,-0.045579098960113716,-0.08948621466159172,-0.013570653012391265
S1_U2_filter_only_no_refill__C3_tail_breadth_Q5_high,S1_U2_filter_only_no_refill,C3_tail_breadth_Q5_high,10bp_slippage_plus_impact,12,1000,-0.008529898595321495,0.015588368051906512,0.016229451145499896,-0.07498885576129452,0.10493677696916733,-0.17537307132981783,0.19875287883741954,0.324,-0.04727681272388567,-0.09506237952421615,-0.015091100551220527
S1_U2_filter_only_no_refill__C4_tail_ret_median_Q5_high,S1_U2_filter_only_no_refill,C4_tail_ret_median_Q5_high,5bp_one_way_slippage,12,1000,0.03957750782738345,0.029653462441834925,0.028055693026954764,-0.05770789319384997,0.12043557012667012,-0.14799757966639804,0.22880395593898872,0.579,-0.041629716351858775,-0.08460209838918124,-0.011014148865127193
S1_U2_filter_only_no_refill__C4_tail_ret_median_Q5_high,S1_U2_filter_only_no_refill,C4_tail_ret_median_Q5_high,10bp_one_way_slippage,12,1000,0.027174026983419086,0.015208804510740364,0.013993834826380613,-0.07182382800346448,0.10768967935594284,-0.1457738473867316,0.21225226073772063,0.606,-0.045627563649193924,-0.08973464100894808,-0.012002889014705804
