trade_date,scenario_id,daily_return,gate_active,selected_trade_count,group_id,strategy_id,regime_id
20260511,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260512,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260513,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260514,10bp_slippage_plus_impact,-0.004606999173002701,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260515,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260518,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260519,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260520,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260224,5bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
20260225,5bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
20260226,5bp_one_way_slippage,0.0016078681650350869,True,10,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
20260227,5bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
20260302,5bp_one_way_slippage,-0.010832308668857793,True,10,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
20260303,5bp_one_way_slippage,-0.0010307150746492132,True,10,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
20260304,5bp_one_way_slippage,0.02061312507746139,True,10,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
20260305,5bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
20260306,5bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
20260309,5bp_one_way_slippage,0.024920243361915295,True,10,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
20260310,5bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
20260311,5bp_one_way_slippage,-0.0033242350367877816,True,10,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
20260312,5bp_one_way_slippage,-0.0034238395763922956,True,10,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
20260313,5bp_one_way_slippage,-0.0018513241955832704,True,10,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
20260316,5bp_one_way_slippage,0.0,False,0,S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down
