dimension_type,dimension_value,trade_count,cumulative_return_5bp,cumulative_return_10bp,cumulative_return_10bp_impact,mean_trade_return_5bp,mean_trade_return_10bp,mean_trade_return_10bp_impact,decay_5bp_to_10bp_sum,decay_10bp_to_impact_sum,decay_5bp_to_10bp_contribution,decay_10bp_to_impact_contribution,avg_participation
industry,超市连锁,3,0.03421005602377747,0.03111129672189139,0.030421576422972496,0.011403400350512127,0.010392248221086494,0.010167864602442936,0.0030334563882769006,0.0006731508559306709,0.005226000139780339,0.006322402127800017,0.007754495475798717
industry,染料涂料,4,-0.07485477721411682,-0.07854889432407253,-0.07915234278405936,-0.019257473015812848,-0.02023797188919485,-0.020398635541052035,0.003921995493528008,0.0006426546074287387,0.0067567640255536375,0.006035973692450315,0.00422886446927908
industry,橡胶,4,-0.021549588883610915,-0.02545655431554983,-0.026074104878644477,-0.0051510760147429335,-0.006145677780562436,-0.006303478330648565,0.003978407063278011,0.0006312022003445161,0.006853949161472537,0.0059284098049802265,0.003951003873350055
industry,机床制造,3,0.009479463225083196,0.006454803139337439,0.00583245922519815,0.0033270823053814422,0.0023240044875375565,0.00211825699762321,0.0030092334535316567,0.0006172424697430401,0.005184269175440865,0.005797296504476042,0.010894684856165867
industry,多元金融,2,0.051092175510069504,0.04899156399126814,0.04837029292027539,0.025429323648312185,0.02440414908015942,0.02409808044355599,0.0020503491363055293,0.0006121372732068586,0.003532315451885473,0.005749347214716072,0.03819845577991642
industry,生物制药,5,0.01163559293667471,0.007596118634841886,0.007145733500323548,0.0024185520961047535,0.0014163825827568255,0.0012982897281837325,0.00501084756673964,0.0005904642728654652,0.0086326245484855,0.005545788945025112,0.0025481499975698527
industry,林业,2,0.008951785658894762,0.006935391861803364,0.006375837013457453,0.004613854566766662,0.003609490296344442,0.0033309847990244945,0.00200872854084444,0.0005570109946398949,0.0034606120186210353,0.005231587342855546,0.010940541858716964
industry,文教休闲,4,0.00892262579443659,0.0048939844062823035,0.004366456167030908,0.0044110664953899426,0.0034069049626587744,0.0032745443244756034,0.004016646130924673,0.000529442552732684,0.006919826941564849,0.004972657603349678,0.004596273896518396
industry,旅游景点,3,-0.030623250669727486,-0.03352775271118724,-0.03398964500712409,-0.010306288573049235,-0.011295736407060534,-0.011453283766535871,0.002968343502033899,0.000472642078426011,0.005113824486317024,0.004439173264062815,0.0042936118981992425
industry,仓储物流,3,0.024033913408474827,0.020965644446924392,0.020493523407805192,0.00802389371916675,0.007016120256775042,0.006861617616782649,0.0030233203871751213,0.00046350791997717966,0.005208537965812906,0.004353382950786438,0.004176233059150606
industry,运输设备,2,-0.023698060354824024,-0.025649203316431057,-0.026053375280895685,-0.011916055152315919,-0.012903893619675033,-0.013108546622344786,0.001975676934718229,0.0004093060053395048,0.0034036711313536047,0.003844304937415592,0.0054647987987428755
industry,供气供热,2,-0.005785245476326861,-0.007772187263331398,-0.008178311874796895,-0.0028778812371187956,-0.0038747556329681854,-0.004078663859993614,0.0019937487916987795,0.00040781645405085776,0.0034348050970408757,0.00383031469710937,0.005903222757941642
