universe,horizon,factor,year,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n
screened,3d,stock_ret_5d,2019,244,-0.023228193254259743,-0.022868387051025705,0.11694612075772913,-3.1530429068323422,0.4385245901639344,3392.844262295082
screened,3d,stock_ret_20d,2019,244,-0.057941640955566406,-0.052641399316676246,0.1215564976857178,-7.566810928681539,0.3319672131147541,3392.7704918032787
screened,3d,stock_ret_60d,2019,244,-0.04041197527407692,-0.03677055511722804,0.11972503407276125,-5.3582796977507465,0.3442622950819672,3392.061475409836
screened,3d,stock_rel_industry_ret_1d,2019,244,-0.008939373415375079,-0.0019089011196805235,0.0772361816839521,-1.8373274093692362,0.48360655737704916,3392.8565573770493
screened,3d,stock_rel_industry_ret_5d,2019,244,-0.02154213058073294,-0.01703580084425715,0.09503090616809683,-3.598521103836396,0.4262295081967213,3392.844262295082
screened,3d,stock_rel_industry_ret_20d,2019,244,-0.05322279791563556,-0.04735806672697307,0.09415205334762232,-8.9736303579432,0.26229508196721313,3392.7704918032787
screened,3d,stock_rel_industry_ret_60d,2019,244,-0.03588041048504325,-0.03398697914308857,0.10142573524526874,-5.615772536592017,0.35655737704918034,3392.061475409836
screened,3d,industry_ret_5d,2019,244,-0.0029744068678797713,0.004958066083855417,0.10261259408440877,-0.4601505852503234,0.5327868852459017,3392.8565573770493
screened,3d,industry_ret_20d,2019,244,-0.013937030981780472,-0.0005981468631162071,0.10896464978741324,-2.030415445614706,0.4959016393442623,3392.8565573770493
screened,3d,industry_ret_60d,2019,244,-0.009784971743035909,-0.0021423343423076476,0.10616602490739138,-1.4631009406512028,0.48770491803278687,3392.8565573770493
screened,3d,industry_breadth_20d,2019,244,-0.0037976005792434257,0.004816509957620936,0.10641654086908506,-0.5665006565357265,0.5163934426229508,3392.8565573770493
screened,3d,industry_breadth_60d,2019,244,0.00333314599052308,0.007222626010817952,0.10791985385596685,0.4902902511061105,0.5368852459016393,3392.8565573770493
screened,3d,industry_amount_share,2019,244,0.002169425929074586,0.005736242780110994,0.12563092078271285,0.2741249428252098,0.5040983606557377,3392.8565573770493
screened,3d,industry_amount_share_roll20d,2019,244,0.003426195188356627,0.0036793994490802013,0.1250392713634289,0.43497664274820785,0.5245901639344263,3392.8565573770493
screened,3d,industry_amount_share_roll60d,2019,244,0.004870652008729844,0.0027284209047262324,0.12268390180444637,0.6302310449032031,0.5204918032786885,3392.8565573770493
screened,3d,industry_crowding_score,2019,244,-0.01378201858097354,-0.0014568140451711384,0.10125791021453709,-2.1606486042900204,0.4918032786885246,3392.8565573770493
screened,3d,stock_amount_share_in_industry,2019,244,-0.03316170522240868,-0.038319839692525184,0.07938923272799095,-6.630946443576662,0.29098360655737704,3392.8565573770493
screened,3d,turnover_rate,2019,244,-0.04176652999882679,-0.042280143452480046,0.17092044160750897,-3.8791329040713114,0.4057377049180328,3392.8565573770493
screened,3d,log_amount,2019,244,-0.045804150354858714,-0.04513524997259867,0.11232779114810573,-6.4731829735945485,0.3237704918032787,3392.8565573770493
screened,3d,log_total_mv,2019,244,-0.008910834236157001,-0.01452136538716622,0.12992382129969834,-1.0887542158389254,0.4344262295081967,3392.8565573770493
screened,3d,stock_ret_1d,2020,243,-0.0046253243277023445,-0.0004561660845533209,0.10569225327966177,-0.6947032081000546,0.49794238683127573,3513.8230452674898
screened,3d,stock_ret_5d,2020,243,-0.01667457447624369,-0.010313521496969598,0.13838172017081496,-1.912829695750678,0.43621399176954734,3513.814814814815
screened,3d,stock_ret_20d,2020,243,-0.01622642522957547,-0.00916161216944853,0.13615327289122914,-1.891886323996245,0.4691358024691358,3513.753086419753
screened,3d,stock_ret_60d,2020,243,-0.016795663585231917,-0.013637710149532653,0.14341393231736535,-1.8591143091658935,0.48148148148148145,3513.5843621399176
screened,3d,stock_rel_industry_ret_1d,2020,243,-0.005271284734652852,0.0006607806872316317,0.07798454231206761,-1.073020992434118,0.5061728395061729,3513.8230452674898
screened,3d,stock_rel_industry_ret_5d,2020,243,-0.018660531922788347,-0.012538814786599241,0.09887452130384958,-2.995986801179549,0.4444444444444444,3513.814814814815
screened,3d,stock_rel_industry_ret_20d,2020,243,-0.0197329159035364,-0.012091156540753661,0.09544037468678383,-3.2821573654281764,0.43621399176954734,3513.753086419753
screened,3d,stock_rel_industry_ret_60d,2020,243,-0.02237913548661314,-0.024629230890523178,0.09461823565247902,-3.7546436992337333,0.43209876543209874,3513.5843621399176
screened,3d,industry_ret_5d,2020,243,0.005053781102404621,0.0010380386065406927,0.12474432725557162,0.6431257407060939,0.5020576131687243,3513.8230452674898
screened,3d,industry_ret_20d,2020,243,0.009243176506181401,0.016352535397392103,0.12582391683009456,1.166160471350786,0.5432098765432098,3513.8230452674898
screened,3d,industry_ret_60d,2020,243,0.009364977411344849,0.034101730322475134,0.13097080336858002,1.1350957905218144,0.5720164609053497,3513.8230452674898
