universe,horizon,factor,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n,factor_group,point_in_time_status,direction_adjusted_mean_spread,abs_mean_ic,candidate_flag
screened,3d,stock_ret_20d,2009,-0.03299899375436742,-0.02881071323085593,0.1511232373147569,-3.4663285093974543,0.4116475858636137,4255.938277750124,price_momentum,usable_after_t_close,0.0014151915337535794,0.03299899375436742,True
screened,5d,stock_rel_industry_ret_60d,1967,-0.03195710964921819,-0.02842407937800721,0.11238343646395882,-4.514040542586672,0.38942552109811895,4273.597864768683,relative_strength,diagnostic_industry_snapshot,0.0031622407543799836,0.03195710964921819,True
screened,3d,stock_ret_60d,1969,-0.03125837848178513,-0.027935950213880633,0.15982694739357106,-3.1046790493827388,0.4245810055865922,4276.116810563738,price_momentum,usable_after_t_close,0.0013923118358983922,0.03125837848178513,True
screened,3d,stock_rel_industry_ret_20d,2009,-0.03037557936729157,-0.028032806299056134,0.10781572394682759,-4.4724216093930655,0.3782976605276257,4255.938277750124,relative_strength,diagnostic_industry_snapshot,0.0017211424099747982,0.03037557936729157,True
screened,3d,stock_amount_share_in_industry,2029,-0.02571860673104594,-0.028145545592684586,0.12262152328676536,-3.3295151937537653,0.40611138491867915,4246.087235091178,liquidity_crowding,usable_after_t_close,0.00234089646818772,0.02571860673104594,True
screened,5d,log_total_mv,2027,-0.025070818669842402,-0.030032631167161344,0.17588406391970887,-2.262779806889555,0.41933892451899357,4238.285150468673,size,usable_after_t_close,0.005653562654947186,0.025070818669842402,True
screened,3d,stock_rel_industry_ret_60d,1969,-0.024901336726023956,-0.02495254260893895,0.11327606047471978,-3.4896734939775915,0.4062976130015236,4276.116810563738,relative_strength,diagnostic_industry_snapshot,0.0014398879818575835,0.024901336726023956,True
screened,10d,industry_crowding_score,1962,-0.024394847094901282,-0.02423296410851871,0.12319926072385809,-3.143332109559793,0.42099898063200814,4274.983180428135,industry_crowding,diagnostic_industry_snapshot,0.000823486441992746,0.024394847094901282,True
screened,10d,industry_ret_60d,1962,-0.024383329704552287,-0.0193688667971143,0.13881424018112898,-2.788426884003914,0.43730886850152906,4274.983180428135,industry_strength,diagnostic_industry_snapshot,0.00141219782753703,0.024383329704552287,True
screened,5d,stock_rel_industry_ret_5d,2022,-0.02435349795627292,-0.017941206468131687,0.09677126446362075,-3.9949854641637144,0.4075173095944609,4245.792284866468,relative_strength,diagnostic_industry_snapshot,0.0035562252244103957,0.02435349795627292,True
screened,5d,stock_ret_5d,2022,-0.02360653048758609,-0.018498800546792385,0.13599082658499548,-2.755642151267355,0.4446092977250247,4245.792284866468,price_momentum_reversal,usable_after_t_close,0.002973292860515663,0.02360653048758609,True
screened,3d,stock_ret_5d,2024,-0.022573267166472514,-0.016391392178693592,0.14185708637843855,-2.5260599688920515,0.441699604743083,4248.65266798419,price_momentum_reversal,usable_after_t_close,0.0014381040141819425,0.022573267166472514,True
screened,10d,stock_rel_industry_ret_5d,2017,-0.022432176799180026,-0.016614082024593045,0.09206926365330946,-3.8677377544767557,0.4035696579077838,4240.072880515617,relative_strength,diagnostic_industry_snapshot,0.004575802829040201,0.022432176799180026,True
screened,3d,stock_rel_industry_ret_5d,2024,-0.022343911068394555,-0.018576487470546507,0.10189627521550414,-3.480977015802866,0.4189723320158103,4248.65266798419,relative_strength,diagnostic_industry_snapshot,0.0018640543918067287,0.022343911068394555,True
screened,10d,stock_ret_5d,2017,-0.02213186943143001,-0.014245441621860843,0.13048598030557987,-2.692492592417409,0.4481903817550818,4240.072880515617,price_momentum_reversal,usable_after_t_close,0.003830354289728975,0.02213186943143001,True
screened,3d,log_total_mv,2029,-0.01903442096526503,-0.024741322743378164,0.17492792575779476,-1.7273517880936025,0.43863972400197143,4241.163134549039,size,usable_after_t_close,0.0033635655851720595,0.01903442096526503,True
screened,5d,industry_crowding_score,1967,-0.018659197604911002,-0.014659184388614174,0.12185918205603685,-2.4307202310239484,0.4433146924250127,4280.077783426538,industry_crowding,diagnostic_industry_snapshot,0.00033183226044638625,0.018659197604911002,True
screened,5d,industry_ret_60d,1967,-0.018611357646606114,-0.008943073578901653,0.14457739289778743,-2.0435155002004612,0.4748347737671581,4280.077783426538,industry_strength,diagnostic_industry_snapshot,0.0002789357033855869,0.018611357646606114,True
