universe,horizon,factor,decile,days,observations,mean_daily_return,median_daily_return,positive_daily_rate
screened,5d,industry_ret_60d,1,1967,840297,0.003179350363858017,0.0027814864986451028,0.5439755973563802
screened,5d,industry_ret_60d,2,1967,841752,0.003156712559696243,0.0031065245546780685,0.5424504321301474
screened,5d,industry_ret_60d,3,1967,843793,0.0037756194387247033,0.0031435739132581633,0.5404168784951703
screened,5d,industry_ret_60d,4,1967,839590,0.0034073083724458805,0.003873039497626482,0.5439755973563802
screened,5d,industry_ret_60d,5,1967,845697,0.003709212319881794,0.004095312341786794,0.5526182003050331
screened,5d,industry_ret_60d,6,1967,839574,0.003609000030786824,0.003724992166143867,0.5516014234875445
screened,5d,industry_ret_60d,7,1967,841077,0.003453627462324883,0.004104957951297917,0.5546517539400102
screened,5d,industry_ret_60d,8,1967,840349,0.0039273436247227065,0.0045121786339880595,0.5602440264361973
screened,5d,industry_ret_60d,9,1967,839501,0.0034011978033971985,0.0037431122975556718,0.5526182003050331
screened,5d,industry_ret_60d,10,1967,847283,0.0029004146604724302,0.00372197336549395,0.543467208947636
screened,5d,industry_breadth_20d,1,2018,858613,0.0019905221436558322,0.003638432698642736,0.5490584737363726
screened,5d,industry_breadth_20d,2,2018,856394,0.0025144366165544226,0.002995130195116508,0.5376610505450942
screened,5d,industry_breadth_20d,3,2018,855185,0.002978911681856133,0.0033697219908667116,0.5426164519326065
screened,5d,industry_breadth_20d,4,2018,853545,0.0031498454460812527,0.0035421825120312243,0.5465807730426164
screened,5d,industry_breadth_20d,5,2018,862898,0.003031890554180462,0.0025328322443376895,0.5376610505450942
screened,5d,industry_breadth_20d,6,2018,856021,0.004054134654836423,0.004034737501405966,0.5564915758176412
screened,5d,industry_breadth_20d,7,2018,855906,0.0042015895593100865,0.004020554098921755,0.5550049554013875
screened,5d,industry_breadth_20d,8,2018,861440,0.004424447140389615,0.0047194607982462295,0.5624380574826561
screened,5d,industry_breadth_20d,9,2018,857071,0.00403154223061787,0.003696353363339874,0.5401387512388504
screened,5d,industry_breadth_20d,10,2018,856175,0.003748877105223851,0.004589242415097686,0.5589692765113974
screened,5d,industry_breadth_60d,1,1998,847860,0.0030278987351721434,0.003431122929284031,0.5585585585585585
screened,5d,industry_breadth_60d,2,1998,852482,0.003006545115106587,0.0036292042914482505,0.549049049049049
screened,5d,industry_breadth_60d,3,1998,854100,0.003444314396894465,0.0035382337087711954,0.5485485485485485
screened,5d,industry_breadth_60d,4,1998,845073,0.0033743214148382827,0.0035767815693064286,0.5525525525525525
screened,5d,industry_breadth_60d,5,1998,858820,0.0041617235719396215,0.004255374780745409,0.5585585585585585
screened,5d,industry_breadth_60d,6,1998,847703,0.0037879516488889525,0.0036633029269892777,0.5445445445445446
screened,5d,industry_breadth_60d,7,1998,853221,0.004099653719108438,0.0037365220625252826,0.5555555555555556
screened,5d,industry_breadth_60d,8,1998,849341,0.003690607694824249,0.003819894100862098,0.5475475475475475
screened,5d,industry_breadth_60d,9,1998,854355,0.005188394567164111,0.005217248478211347,0.5690690690690691
screened,5d,industry_breadth_60d,10,1998,850612,0.0029760312430424578,0.0035605991655969695,0.5455455455455456
