universe,horizon,factor,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n,factor_group,point_in_time_status
screened,3d,industry_amount_share_roll60d,2000,-0.008281532344270112,-0.0033683392757966274,0.15796283703671452,-0.8322542998787934,0.489,4263.697,industry_crowding,diagnostic_industry_snapshot
screened,3d,stock_ret_60d,1969,-0.03125837848178513,-0.027935950213880633,0.15982694739357106,-3.1046790493827388,0.4245810055865922,4276.116810563738,price_momentum,usable_after_t_close
screened,3d,stock_rel_industry_ret_60d,1969,-0.024901336726023956,-0.02495254260893895,0.11327606047471978,-3.4896734939775915,0.4062976130015236,4276.116810563738,relative_strength,diagnostic_industry_snapshot
screened,3d,industry_ret_60d,1969,-0.013790699185978812,-0.00293665226240674,0.1483284527188531,-1.4759175242376095,0.49162011173184356,4282.627729812088,industry_strength,diagnostic_industry_snapshot
screened,3d,industry_crowding_score,1969,-0.014289530875617105,-0.008217995287563491,0.12168747810125236,-1.8641134965688544,0.46673438293550024,4282.627729812088,industry_crowding,diagnostic_industry_snapshot
screened,5d,industry_amount_share,2027,-0.012244135618722379,-0.006944838714777477,0.158782993780752,-1.2241211893567798,0.48643315244203256,4243.211149481993,industry_crowding,diagnostic_industry_snapshot
screened,5d,stock_amount_share_in_industry,2027,-0.03563659610332773,-0.03733713980813409,0.12512877985700496,-4.521049640378811,0.36901825357671436,4243.211149481993,liquidity_crowding,usable_after_t_close
screened,5d,turnover_rate,2027,-0.05410916718260954,-0.06044128512209403,0.16797294920430614,-5.113659098997315,0.3734583127775037,4238.285150468673,liquidity,usable_after_t_close
screened,5d,log_amount,2027,-0.0632037543090167,-0.07051209992776197,0.14399561333445735,-6.967771251706737,0.31820424272323633,4243.211149481993,liquidity,usable_after_t_close
screened,5d,log_total_mv,2027,-0.025070818669842402,-0.030032631167161344,0.17588406391970887,-2.262779806889555,0.41933892451899357,4238.285150468673,size,usable_after_t_close
screened,5d,stock_ret_1d,2026,-0.008673143248046095,-0.005858958431770565,0.13069333848650191,-1.0534728266325037,0.4817374136229023,4243.7882527147085,price_momentum_reversal,usable_after_t_close
screened,5d,stock_rel_industry_ret_1d,2026,-0.009808626905053233,-0.006594218087153681,0.08647427764762719,-1.8006178160541197,0.456071076011846,4243.7882527147085,relative_strength,diagnostic_industry_snapshot
screened,5d,stock_ret_5d,2022,-0.02360653048758609,-0.018498800546792385,0.13599082658499548,-2.755642151267355,0.4446092977250247,4245.792284866468,price_momentum_reversal,usable_after_t_close
screened,5d,stock_rel_industry_ret_5d,2022,-0.02435349795627292,-0.017941206468131687,0.09677126446362075,-3.9949854641637144,0.4075173095944609,4245.792284866468,relative_strength,diagnostic_industry_snapshot
screened,5d,industry_ret_5d,2022,-0.0032461311299866904,0.000866561476917617,0.1332139302866886,-0.3868269185317207,0.5024727992087042,4246.090009891197,industry_strength,diagnostic_industry_snapshot
screened,5d,industry_breadth_20d,2018,-0.004734603055656192,-0.0012656188325787237,0.13257965108407635,-0.5669006731928551,0.4965312190287413,4248.388503468781,industry_breadth,diagnostic_industry_snapshot
screened,5d,industry_amount_share_roll20d,2018,-0.010429784848450686,-0.004122424685287975,0.1607490954751448,-1.0299759456317457,0.4861248761149653,4248.388503468781,industry_crowding,diagnostic_industry_snapshot
screened,5d,stock_ret_20d,2007,-0.041275498686429754,-0.040776422569390194,0.14690784941368856,-4.460130831686827,0.3866467364225212,4253.22869955157,price_momentum,usable_after_t_close
screened,5d,stock_rel_industry_ret_20d,2007,-0.038094133277598134,-0.035879130684487934,0.10584689637536478,-5.713210675860623,0.34728450423517687,4253.22869955157,relative_strength,diagnostic_industry_snapshot
screened,5d,industry_ret_20d,2007,-0.011636640114711274,-0.005356468369170681,0.1413241914834711,-1.3071076727929485,0.476831091180867,4254.82461385152,industry_strength,diagnostic_industry_snapshot
screened,5d,industry_breadth_60d,1998,-0.012508253287404986,-0.006170222487228469,0.1407328174520923,-1.4109172885227863,0.4824824824824825,4261.044544544545,industry_breadth,diagnostic_industry_snapshot
screened,5d,industry_amount_share_roll60d,1998,-0.008226251487535115,-0.0027737953383669195,0.1609055497156523,-0.811579800575737,0.494994994994995,4261.044544544545,industry_crowding,diagnostic_industry_snapshot
screened,5d,stock_ret_60d,1967,-0.04035734912095861,-0.03807076292052796,0.156276557513548,-4.099482777713901,0.4072191154041688,4273.597864768683,price_momentum,usable_after_t_close
screened,5d,stock_rel_industry_ret_60d,1967,-0.03195710964921819,-0.02842407937800721,0.11238343646395882,-4.514040542586672,0.38942552109811895,4273.597864768683,relative_strength,diagnostic_industry_snapshot
screened,5d,industry_ret_60d,1967,-0.018611357646606114,-0.008943073578901653,0.14457739289778743,-2.0435155002004612,0.4748347737671581,4280.077783426538,industry_strength,diagnostic_industry_snapshot
screened,5d,industry_crowding_score,1967,-0.018659197604911002,-0.014659184388614174,0.12185918205603685,-2.4307202310239484,0.4433146924250127,4280.077783426538,industry_crowding,diagnostic_industry_snapshot
screened,10d,industry_amount_share,2022,-0.013384182814924008,-0.006777191391840307,0.16481018372924194,-1.289163755376498,0.4846686449060336,4237.438674579624,industry_crowding,diagnostic_industry_snapshot
screened,10d,stock_amount_share_in_industry,2022,-0.047757715883366726,-0.04728977440789644,0.12683452456257488,-5.977317604065891,0.3545994065281899,4237.438674579624,liquidity_crowding,usable_after_t_close
screened,10d,turnover_rate,2022,-0.06742755096012658,-0.07567108907188816,0.16788303731989992,-6.375743524869499,0.3486646884272997,4232.507912957468,liquidity,usable_after_t_close
screened,10d,log_amount,2022,-0.08092797953451496,-0.08877286445189844,0.1492228218029235,-8.609218296569827,0.29376854599406527,4237.438674579624,liquidity,usable_after_t_close
screened,10d,log_total_mv,2022,-0.03424122029807453,-0.042504966146246714,0.18122840988662675,-2.999322905920413,0.39119683481701284,4232.507912957468,size,usable_after_t_close
screened,10d,stock_ret_1d,2021,-0.0038783316906383365,0.0003096655197434363,0.12513875731581087,-0.49198672139698196,0.5022266204849085,4238.019792182088,price_momentum_reversal,usable_after_t_close
screened,10d,stock_rel_industry_ret_1d,2021,-0.005271770463689384,-0.00238881861284223,0.08123667890991848,-1.0301598098123264,0.48787728847105394,4238.019792182088,relative_strength,diagnostic_industry_snapshot
screened,10d,stock_ret_5d,2017,-0.02213186943143001,-0.014245441621860843,0.13048598030557987,-2.692492592417409,0.4481903817550818,4240.072880515617,price_momentum_reversal,usable_after_t_close
