trade_date,experiment_id,filter_id,ref_method,capital,order_notional,threshold,candidates_before_filter,candidates_after_filter,filtered_removed_count,selected_count,below_top10
20260326,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2964,2964,0,10,False
20260327,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2934,2934,0,10,False
20260330,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2943,2943,0,10,False
20260331,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2957,2957,0,10,False
20260401,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2952,2952,0,10,False
20260402,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2966,2966,0,10,False
20260403,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2947,2947,0,10,False
20260407,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2933,2933,0,10,False
20260408,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2883,2883,0,10,False
20260409,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2952,2952,0,10,False
20260410,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2954,2954,0,10,False
20260413,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2953,2953,0,10,False
20260414,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2958,2958,0,10,False
20260415,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2949,2949,0,10,False
20260416,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2942,2942,0,10,False
20260417,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2945,2945,0,10,False
20260420,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2936,2936,0,10,False
20260421,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2956,2956,0,10,False
20260422,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2944,2944,0,10,False
20260423,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2945,2945,0,10,False
20260424,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2944,2944,0,10,False
20260427,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2928,2928,0,10,False
