ts_code,trade_date,split,target_return,extreme_side,primary_attribution,dirty_event_removed_by_event_clean,from_repaired_daily_sample,entry_daily_source,exit_daily_source,minute_daily_close_mismatch,daily_minute_close_diff_pct,exit_bar_amount,exit_amount_zero,exit_amount_lt_10k,entry_bar_amount,entry_amount_lt_10k,suspect_resume_gap,prev_trade_gap_calendar_days,exright_or_adjustment_evidence,is_new_stock_180d,is_subnew_365d,special_limit_board,is_st,name,industry,market,list_date
300654.SZ,20241113,train,0.2055629770091414,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,69093250.0,False,False,25793540.0,False,False,1,unknown,False,False,True,False,世纪天鸿,出版业,创业板,20170926
688719.SH,20240620,train,-0.32310024433939966,negative,subnew_stock_365d,False,False,raw_daily,raw_daily,False,0.0,1899519.0,False,False,1510837.0,False,False,1,unknown,False,True,True,False,爱科赛博,电气设备,科创板,20230928
688639.SH,20240719,train,-0.3296108637155415,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,3084827.0,False,False,2665680.0,False,False,1,unknown,False,False,True,False,华恒生物,化学制药,科创板,20210422
605289.SH,20260520,legacy_validation,-0.2762942617552303,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,24077726.0,False,False,13334345.0,False,False,1,unknown,False,False,False,False,罗曼股份,建筑工程,主板,20210426
301312.SZ,20250528,train,-0.2881930417472003,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,1465883.6,False,False,1425798.0,False,False,1,unknown,False,False,True,False,智立方,专用机械,创业板,20220711
688368.SH,20240613,train,-0.28498800047270345,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,1860476.0,False,False,1989171.0,False,False,1,unknown,False,False,True,False,晶丰明源,半导体,科创板,20191014
300031.SZ,20250225,train,0.20209098655536595,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,45364360.0,False,False,86631890.0,False,False,1,unknown,False,False,True,False,宝通科技,互联网,创业板,20091225
688617.SH,20240725,train,-0.33039767502365325,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,8965436.0,False,False,6758090.0,False,False,1,unknown,False,False,True,False,惠泰医疗,医疗保健,科创板,20210107
688617.SH,20250618,train,-0.3195210672531906,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,6970461.0,False,False,6409031.0,False,False,1,unknown,False,False,True,False,惠泰医疗,医疗保健,科创板,20210107
688188.SH,20250606,train,-0.30297301858455894,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,7310125.0,False,False,5979754.0,False,False,1,unknown,False,False,True,False,柏楚电子,专用机械,科创板,20190808
