scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99
capacity_500000_part_100bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.01,5,True,True,True,True,True,-0.027380385770865323,-0.0004495592580732011,0.44482758620689655,0.4827586206896552,-0.046760443889116265,0.9205808049811179,0.5274665946821433,580,58,10.0,0.517958697267043,426,0,20260520,0.018023040153375698,20260227,-0.02134123340687003,-0.044599605444490154,-0.07422595772483709,-0.09839781576984452,154,426,0,0,0,20260225,20260519,56,0.01,0.01,0.010000000000000002
capacity_500000_part_100bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.01,10,True,True,True,True,True,-0.05616221468822735,-0.0009669371096263697,0.43275862068965515,0.43103448275862066,-0.07337775109571798,0.8379181490640764,0.5274665946821433,580,58,10.0,0.517958697267043,426,0,20260520,0.01709321142541654,20260227,-0.022271573499168272,-0.07202429953394263,-0.09966725816575561,-0.12215650576672754,154,426,0,0,0,20260224,20260519,57,0.01,0.01,0.010000000000000002
capacity_500000_part_100bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.01,15,True,True,True,True,True,-0.08408227756286879,-0.0014837985434553768,0.4224137931034483,0.39655172413793105,-0.09967990656478487,0.7635389750482017,0.5274665946821433,580,58,10.0,0.517958697267043,426,0,20260520,0.016164310811102832,20260227,-0.023200984973903577,-0.09865194763035401,-0.12440024483644518,-0.14528054566167048,154,426,0,0,0,20260224,20260519,57,0.01,0.01,0.010000000000000002
capacity_500000_part_100bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.01,20,True,True,True,True,True,-0.11116668426900767,-0.0020001443323634893,0.41206896551724137,0.3793103448275862,-0.12522614570773505,0.6963363944511414,0.5274665946821433,580,58,10.0,0.517958697267043,426,0,20260520,0.015236336921525363,20260227,-0.024129469220729508,-0.12450600573835013,-0.14844489854646703,-0.1677871226729971,154,426,0,0,0,20260224,20260519,57,0.01,0.01,0.010000000000000002
capacity_500000_part_300bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.03,5,True,True,True,True,True,-0.020491640426262392,-0.0002885115537190406,0.44310344827586207,0.46551724137931033,-0.06369329284565828,0.9644257847367858,0.5274665946821433,580,58,10.0,0.8288435285436911,245,0,20260407,0.024980364319894376,20260306,-0.031526928530974364,-0.04436378132602459,-0.08513528823531347,-0.12069793508163551,335,245,0,0,0,20260225,20260320,18,0.02540259513771686,0.03,0.030000000000000002
capacity_500000_part_300bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.03,10,True,True,True,True,True,-0.06647825182090772,-0.0011168561191273018,0.43275862068965515,0.41379310344827586,-0.08662306691117516,0.8700334556010568,0.5274665946821433,580,58,10.0,0.8288435285436911,245,0,20260407,0.0241371384447807,20260306,-0.032416238381459836,-0.08847974247208179,-0.12576558729185305,-0.15808735790784312,335,245,0,0,0,20260224,20260519,57,0.02540259513771686,0.03,0.030000000000000002
capacity_500000_part_300bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.03,15,True,True,True,True,True,-0.11029957029990611,-0.0019443739251014992,0.4224137931034483,0.39655172413793105,-0.12799993581461955,0.7859664015891199,0.5274665946821433,580,58,10.0,0.8288435285436911,245,0,20260407,0.023294754132992986,20260306,-0.0333046606774003,-0.13055312156475374,-0.16458578434554028,-0.193881475281814,335,245,0,0,0,20260224,20260519,57,0.02540259513771686,0.03,0.030000000000000002
capacity_500000_part_300bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.03,20,True,True,True,True,True,-0.15205786074561267,-0.0027710662087900564,0.41206896551724137,0.3793103448275862,-0.16749669521601807,0.7107528785949007,0.5274665946821433,580,58,10.0,0.8288435285436911,245,0,20260407,0.022453210125303737,20260306,-0.03419219674683692,-0.17067878426390792,-0.20167678639309017,-0.22814859941312704,335,245,0,0,0,20260224,20260519,57,0.02540259513771686,0.03,0.030000000000000002
capacity_500000_part_500bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.05,5,True,True,True,True,True,-0.0024651886276049195,3.8689271585322396e-05,0.44310344827586207,0.4827586206896552,-0.0669094242189715,1.0044815477603999,0.5274665946821433,580,58,10.0,0.9238565982520663,115,0,20260407,0.02940427773635554,20260306,-0.03388835073676412,-0.030959135349660882,-0.0755655099406044,-0.11192962232209713,465,115,0,0,0,20260225,20260320,18,0.02540259513771686,0.05,0.05000000000000001
capacity_500000_part_500bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.05,10,True,True,True,True,True,-0.05452576023762912,-0.0008849729382749774,0.43275862068965515,0.41379310344827586,-0.08170873668233647,0.903415493235601,0.5274665946821433,580,58,10.0,0.9238565982520663,115,0,20260407,0.028423236564577552,20260306,-0.034845906607423885,-0.08065647862965064,-0.12124587768977557,-0.1541685300313006,465,115,0,0,0,20260225,20260320,18,0.02540259513771686,0.05,0.05000000000000001
