trade_date,universe_id,v7_top10_count,retained_count,removed_count,retention_ratio,removed_codes
20260413,U3_internal_roll_top2000_60d,10,6,4,0.6,"001288.SZ,002627.SZ,603316.SH,688319.SH"
20260414,U3_internal_roll_top2000_60d,10,1,9,0.1,"002344.SZ,002614.SZ,300318.SZ,301077.SZ,600272.SH,600778.SH,603708.SH,603726.SH,603999.SH"
20260415,U3_internal_roll_top2000_60d,10,0,10,0.0,"300213.SZ,300350.SZ,300654.SZ,603023.SH,603499.SH,603679.SH,605086.SH,605288.SH,688500.SH,688648.SH"
20260416,U3_internal_roll_top2000_60d,10,1,9,0.1,"002295.SZ,002591.SZ,002679.SZ,002836.SZ,002910.SZ,600778.SH,603028.SH,603536.SH,603696.SH"
20260417,U3_internal_roll_top2000_60d,10,6,4,0.6,"002357.SZ,002653.SZ,688386.SH,688796.SH"
20260420,U3_internal_roll_top2000_60d,10,4,6,0.4,"002357.SZ,002374.SZ,002718.SZ,600729.SH,605179.SH,688500.SH"
20260421,U3_internal_roll_top2000_60d,10,8,2,0.8,"002718.SZ,688376.SH"
20260422,U3_internal_roll_top2000_60d,10,5,5,0.5,"002394.SZ,002927.SZ,300837.SZ,301001.SZ,603726.SH"
20260423,U3_internal_roll_top2000_60d,10,0,10,0.0,"001255.SZ,001266.SZ,002513.SZ,300542.SZ,300946.SZ,300978.SZ,301010.SZ,301567.SZ,688292.SH,688651.SH"
20260424,U3_internal_roll_top2000_60d,10,1,9,0.1,"000955.SZ,002836.SZ,002910.SZ,002976.SZ,301001.SZ,301043.SZ,301126.SZ,600640.SH,688448.SH"
20260427,U3_internal_roll_top2000_60d,10,2,8,0.2,"002059.SZ,300095.SZ,301001.SZ,301126.SZ,301398.SZ,600336.SH,600901.SH,605599.SH"
20260428,U3_internal_roll_top2000_60d,10,1,9,0.1,"002093.SZ,002599.SZ,003033.SZ,300403.SZ,301017.SZ,301046.SZ,605288.SH,688118.SH,688562.SH"
