rule_id,split,remove_top_winning_days,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
low_log_total_mv,validation,3,481,9620,20.0,442.4495589287495,0.016158761879431275,-0.0038817424187893136,0.4594594594594595,0.461018711018711,1.89651714637188,1.7024842122315078,-0.8171529202660273,0.016158761879431275,0.5597810385269039,-0.1873332405624371
low_log_total_mv,validation,5,479,9580,20.0,196.41510173771132,0.014138743901815538,-0.004276892255283715,0.4572025052192067,0.45876826722338204,1.781181202081789,1.6121103913910602,-0.8171529202660275,0.014138743901815534,0.41087930491154473,-0.1873332405624371
low_log_total_mv,validation,10,474,9480,20.0,39.079591809129624,0.010321871761238133,-0.004776142341952259,0.45147679324894513,0.4530590717299578,1.5643418316500561,1.442201500150149,-0.8171529202660274,0.010321871761238133,0.3179522366390234,-0.1873332405624371
low_log_total_mv,validation,20,464,9280,20.0,2.80114740947466,0.00481469352716196,-0.00540287684116012,0.4396551724137931,0.4415948275862069,1.2576867398884484,1.2026556708988279,-0.8171529202660277,0.004814693527161961,0.2184704245761247,-0.1873332405624371
low_stock_amount_share_in_industry,validation,0,484,9680,20.0,20.140850756182516,0.008420079732945288,-0.002665877035372119,0.44834710743801653,0.4559917355371901,1.6426449950212623,1.4900573009915123,-0.7734437662190453,0.008420079732945287,0.709650002325744,-0.1896592183056902
low_stock_amount_share_in_industry,validation,1,483,9660,20.0,11.36560157191433,0.00696825794703887,-0.0027891274232714315,0.4472049689440994,0.4548654244306418,1.5307388919629397,1.4047218463406512,-0.7734437662190453,0.006968257947038871,0.5548869843980596,-0.1896592183056902
low_stock_amount_share_in_industry,validation,3,481,9620,20.0,4.381514996157319,0.004850300459935286,-0.002812262222714651,0.44490644490644493,0.4525987525987526,1.3678944894969522,1.2805427288304978,-0.7734437662190453,0.004850300459935286,0.38334819420279687,-0.1896592183056902
low_stock_amount_share_in_industry,validation,5,479,9580,20.0,1.8484859258020965,0.0033067532730854535,-0.003405806844413889,0.44258872651356995,0.4503131524008351,1.2497737932478972,1.190468255297665,-0.7734437662190454,0.0033067532730854544,0.3370225187763981,-0.1896592183056902
low_stock_amount_share_in_industry,validation,10,474,9480,20.0,-0.08412922506663811,0.0006344010007374957,-0.003604941146597132,0.43670886075949367,0.44462025316455694,1.0474189316369236,1.0361665998392564,-0.7734437662190453,0.0006344010007374952,0.153230751385585,-0.1896592183056902
low_stock_amount_share_in_industry,validation,20,464,9280,20.0,-0.7314134231058496,-0.0021678647637310964,-0.0040354360460282904,0.4245689655172414,0.43372844827586204,0.8413793479202554,0.8788882626840523,-0.8081040743178474,-0.0021678647637310955,0.0953670877102711,-0.1896592183056902
low_stock_ret_60d,validation,0,484,9680,20.0,2.9368120223973047,0.005011874565637244,-0.004536459864893536,0.45454545454545453,0.4455578512396694,1.2665145905031876,1.171150945935893,-0.9342200627491135,0.005011874565637245,0.5038933438839511,-0.23264626820832907
