rule_id,split,roundtrip_cost_bps,regime_type,regime_value,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
low_log_amount,validation,0,market_regime_id,strong|high_vol|crowding_normal,5,100,20.0,0.2150380304366204,0.039976017522689776,0.04796378406212942,1.0,0.86,inf,20.008267049427147,0.0,0.03997601752268978,0.07165869153816709,0.006408681375026459
low_log_amount,validation,0,market_regime_id,strong|low_vol|crowding_high,10,200,20.0,-0.058101944428777585,-0.005954588963754574,-0.008400172528502985,0.2,0.315,0.07781516241005963,0.34263851629395614,-0.05207391509526993,-0.005954588963754572,0.0031567718848912905,-0.01237926295479303
low_log_amount,validation,0,market_regime_id,strong|low_vol|crowding_normal,8,160,20.0,-0.01905932365237284,-0.0023132039925375654,-0.005153421816880763,0.125,0.38125,0.6228421536397292,0.7328731370121578,-0.048148275440102695,-0.002313203992537566,0.03056038145140675,-0.014860730847618936
low_log_amount,validation,0,market_regime_id,strong|normal_vol|crowding_high,16,320,20.0,0.24310075111286134,0.01726388329262294,-0.030174094266912366,0.375,0.41875,1.6481179719756163,1.5790338472462249,-0.32845426128621946,0.017263883292622937,0.21824924132623869,-0.06509909204380063
low_log_amount,validation,0,market_regime_id,strong|normal_vol|crowding_low,8,160,20.0,-0.027992561815610273,-0.0033833927026404344,-0.00740694491529564,0.5,0.425,0.6519568289882577,0.7765234728168565,-0.057081609136462874,-0.0033833927026404335,0.02521404109779831,-0.02266016749465196
low_log_amount,validation,0,market_regime_id,strong|normal_vol|crowding_normal,18,360,20.0,-0.522176720216001,-0.03885558777195498,-0.03572241225950347,0.2777777777777778,0.25833333333333336,0.06895872415953952,0.13759573122760185,-0.5232582348064476,-0.038855587771954976,0.029899648569605825,-0.17950581720511888
low_log_amount,validation,0,market_regime_id,weak|high_vol|crowding_high,5,100,20.0,0.10128738222278977,0.02062461381221986,0.021594477705527186,0.6,0.57,2.7502936793778696,2.2244054347289683,-0.0018569376689665518,0.020624613812219864,0.07306330733152984,-0.05706064300683975
low_log_amount,validation,0,market_regime_id,weak|high_vol|crowding_low,3,60,20.0,0.257040382552173,0.07953624666428552,0.06404035394228544,1.0,0.9833333333333333,inf,177.87834983986602,0.0,0.07953624666428552,0.11561776604391028,0.05895062000666085
low_log_amount,validation,0,market_regime_id,weak|high_vol|crowding_normal,14,280,20.0,0.3485793146545859,0.023042681344505742,0.01940587861586563,0.6428571428571429,0.6035714285714285,3.3083894470329853,2.5656195137135205,-0.13350360909214698,0.023042681344505742,0.17822749742909338,-0.058545902077566624
low_log_amount,validation,0,market_regime_id,weak|low_vol|crowding_high,4,80,20.0,0.03008267247016061,0.007580259588284401,0.011987546654640215,0.75,0.6375,2.727829684300646,1.9070795864629917,-0.017548626828581382,0.007580259588284401,0.02389457187243854,-0.01754862682858137
low_log_amount,validation,0,market_regime_id,weak|low_vol|crowding_normal,13,260,20.0,-0.09735052418092138,-0.007721948643631598,-0.006292254886111797,0.46153846153846156,0.38076923076923075,0.27519699886920496,0.4828557093166155,-0.11722944655232237,-0.007721948643631598,0.01948300523606717,-0.0368538331453735
low_log_amount,validation,0,market_regime_id,weak|normal_vol|crowding_high,15,300,20.0,0.26669472644636216,0.01679015555327977,0.005603195809278888,0.6,0.5366666666666666,3.3212278678651854,2.420916168181534,-0.09193475901388604,0.01679015555327977,0.1349027714015595,-0.027018381646895823
low_log_amount,validation,0,market_regime_id,weak|normal_vol|crowding_low,10,200,20.0,-0.09272070607335858,-0.007757988853459033,0.008072449660518765,0.6,0.475,0.685245006354581,0.7625236689067693,-0.08148920381209579,-0.007757988853459034,0.05187000731230316,-0.16301524881415747
low_log_amount,validation,0,market_regime_id,weak|normal_vol|crowding_normal,33,660,20.0,-0.07554924342019964,-0.001879804627706957,0.006569517551757298,0.5757575757575758,0.4818181818181818,0.8458400407574319,0.8950358626279974,-0.1437637389035319,-0.0018798046277069581,0.052756938365123275,-0.1027088437390887
