model_id,baseline_id,split,signal_days,avg_overlap_count,avg_overlap_ratio_model,avg_overlap_ratio_baseline,avg_model_only_count,avg_baseline_only_count,avg_overlap_return,avg_model_only_return,avg_baseline_only_return,model_only_minus_baseline_only,avg_model_daily_return,avg_baseline_daily_return,avg_replacement_return_diff,replacement_diff_pf,replacement_diff_positive_day_rate
ridge_primary_alpha1,low_log_total_mv,train,1215,3.1761316872427985,0.15880658436213993,0.15880658436213993,16.823868312757202,16.823868312757202,0.002370433877099332,0.003931770103859745,0.0023569201138461345,0.0015748499900136103,0.0035992561548162773,0.0023657592403623757,0.0012334969144539019,1.191891516430424,0.5152263374485597
ridge_primary_alpha1,low_stock_amount_share_in_industry,train,1215,3.2106995884773664,0.16053497942386832,0.16053497942386832,16.789300411522635,16.789300411522635,0.0010502257603077635,0.0040496372727531005,0.004671561923625146,-0.0006219246508720458,0.0035992561548162773,0.004344755410111012,-0.0007454992552947341,0.898405479855805,0.4897119341563786
ridge_primary_alpha1,low_stock_ret_60d,train,1155,0.3142857142857143,0.015714285714285715,0.015714285714285715,19.685714285714287,19.685714285714287,0.0325036494809196,0.003459326976121342,0.003515471364754228,-5.6144388632886014e-05,0.003815688350057117,0.0038492954166887594,-3.360706663164037e-05,0.9975077712600808,0.5203463203463203
logistic_primary_sgd_l2,combo_low_liquidity_weak_momentum,validation,484,8.398760330578513,0.4199380165289256,0.4199380165289256,11.601239669421487,11.601239669421487,0.007639656594037285,0.005898992173197897,0.0032482573132567773,0.0026507348599411193,0.006747865607892956,0.004732306918420068,0.0020155586894728883,1.3875946213416157,0.5103305785123967
logistic_primary_sgd_l2,combo_low_size_low_liquidity,validation,484,5.132231404958677,0.25661157024793385,0.25661157024793385,14.867768595041323,14.867768595041323,0.006763867543677997,0.007179945053874797,0.0058645741763361115,0.0013153708775386855,0.006747865607892956,0.005575893933601551,0.0011719716742914017,1.1900681855532709,0.4896694214876033
logistic_primary_sgd_l2,low_log_amount,validation,484,3.8863636363636362,0.1943181818181818,0.1943181818181818,16.113636363636363,16.113636363636363,0.0030332950025117214,0.007015654797236484,0.008538063121377705,-0.001522408324141221,0.006747865607892956,0.008214628539122583,-0.0014667629312296268,0.8515201389242,0.5
logistic_primary_sgd_l2,low_log_total_mv,validation,484,1.743801652892562,0.0871900826446281,0.0871900826446281,18.25619834710744,18.25619834710744,0.015520794118510008,0.006590453727384996,0.020722803155582697,-0.014132349428197702,0.006747865607892956,0.02050614879321123,-0.013758283185318274,0.49419043165675874,0.48760330578512395
logistic_primary_sgd_l2,low_stock_amount_share_in_industry,validation,484,2.700413223140496,0.13502066115702477,0.13502066115702477,17.299586776859503,17.299586776859503,0.0046140552078207065,0.006793248004768682,0.008666432999672092,-0.0018731849949034096,0.006747865607892956,0.008420079732945288,-0.0016722141250523318,0.8293629398570916,0.512396694214876
logistic_primary_sgd_l2,low_stock_ret_60d,validation,484,0.09090909090909091,0.004545454545454546,0.004545454545454546,19.90909090909091,19.90909090909091,-0.009705896171667934,0.00681905328895237,0.005071736340269881,0.001747316948682489,0.006747865607892956,0.005011874565637244,0.00173599104225571,1.1238231978906061,0.5289256198347108
ridge_conditional_industry_ablation,combo_low_liquidity_weak_momentum,validation,484,6.274793388429752,0.31373966942148757,0.31373966942148757,13.725206611570249,13.725206611570249,0.009774170313149847,0.005248251112100891,0.003659161416751552,0.001589089695349339,0.006336272277748928,0.004732306918420068,0.001603965359328861,1.2383187589180666,0.5041322314049587
