scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days
capacity_500000_part_100bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.01,10,True,True,True,True,True,-0.05632557437392194,-0.0009699119366124896,0.4317789291882556,0.43103448275862066,-0.0735381311119605,0.8374194967118974,0.5334428792730082,580,58,10.0,0.517804037267043,425,1,20260520,0.01709321142541654,20260227,-0.022271573499168272,-0.07218491380592829,-0.09982308798737971,-0.12230844314361466,154,425,1,0,0,20260224,20260519,57
capacity_500000_part_100bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.01,15,True,True,True,True,True,-0.0842324459915893,-0.001486615785408573,0.4214162348877375,0.39655172413793105,-0.09982751769891274,0.7630900138851595,0.5334428792730082,580,58,10.0,0.517804037267043,425,1,20260520,0.016164310811102832,20260227,-0.023200984973903577,-0.09879972730252207,-0.12454380297076217,-0.1454206803859046,154,425,1,0,0,20260224,20260519,57
capacity_500000_part_100bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.01,20,True,True,True,True,True,-0.11130430433680127,-0.002002804146491497,0.4110535405872193,0.3793103448275862,-0.12536158891739102,0.6959325792188444,0.5334428792730082,580,58,10.0,0.517804037267043,425,1,20260520,0.015236336921525363,20260227,-0.024129469220729508,-0.12464156044890251,-0.14857674674423105,-0.16791597607055686,154,425,1,0,0,20260224,20260519,57
capacity_500000_part_300bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.03,5,True,True,True,True,True,-0.021025921208145615,-0.00029785335945511796,0.4421416234887737,0.46551724137931033,-0.06369329284565828,0.9632739161065056,0.5334428792730082,580,58,10.0,0.8283795485436911,244,1,20260407,0.024980364319894376,20260306,-0.031526928530974364,-0.04488504085496958,-0.08563430861501875,-0.12117755752708448,335,244,1,0,0,20260225,20260320,18
capacity_500000_part_300bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.03,10,True,True,True,True,True,-0.06696196949039201,-0.0011257247772294369,0.4317789291882556,0.41379310344827586,-0.08709634625608198,0.8690014257565224,0.5334428792730082,580,58,10.0,0.8283795485436911,244,1,20260407,0.0241371384447807,20260306,-0.032416238381459836,-0.08895205975394338,-0.12621858437898337,-0.15852360700641677,335,244,1,0,0,20260224,20260519,57
capacity_500000_part_300bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.03,15,True,True,True,True,True,-0.1107362910811428,-0.0019527699077682978,0.4214162348877375,0.39655172413793105,-0.128427968146129,0.7850421851309732,0.5334428792730082,580,58,10.0,0.8283795485436911,244,1,20260407,0.023294754132992986,20260306,-0.0333046606774003,-0.1309799006325374,-0.1649958580475842,-0.19427716882104584,335,244,1,0,0,20260224,20260519,57
capacity_500000_part_300bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.03,20,True,True,True,True,True,-0.15245092713401376,-0.002778989987513599,0.4110535405872193,0.3793103448275862,-0.16788260488154205,0.7099257853341313,0.5334428792730082,580,58,10.0,0.8283795485436911,244,1,20260407,0.022453210125303737,20260306,-0.03419219674683692,-0.17106321886150944,-0.20204685176408932,-0.2285063936874836,335,244,1,0,0,20260224,20260519,57
capacity_500000_part_500bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.05,5,True,True,True,True,True,-0.003370023595761773,2.3183731793797988e-05,0.4421416234887737,0.4827586206896552,-0.0669094242189715,1.0026854731826387,0.5334428792730082,580,58,10.0,0.9230832982520665,114,1,20260407,0.02940427773635554,20260306,-0.03388835073676412,-0.03183812428309252,-0.07640403772213111,-0.11273516526931693,465,114,1,0,0,20260225,20260320,18
capacity_500000_part_500bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.05,10,True,True,True,True,True,-0.05534046324071906,-0.0008996899902183173,0.4317789291882556,0.41379310344827586,-0.08170873668233647,0.9018092981289526,0.5334428792730082,580,58,10.0,0.9230832982520665,114,1,20260407,0.028423236564577552,20260306,-0.034845906607423885,-0.08144866512848081,-0.12200308882500788,-0.1548973721400656,465,114,1,0,0,20260225,20260320,18
capacity_500000_part_500bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.05,15,True,True,True,True,True,-0.10459755918877034,-0.0018216426218522876,0.41968911917098445,0.3793103448275862,-0.12264923712936548,0.812227625817728,0.5334428792730082,580,58,10.0,0.9230832982520665,114,1,20260407,0.027443174471101284,20260306,-0.03580250682682354,-0.1285139041658846,-0.16534785613565317,-0.19505320247601765,465,114,1,0,0,20260224,20260519,57
